"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"84","3.1410455","278","3.1410655","278","3.1417065","278","3.14147375","278","3.14181875","278","3.14196475","278","3.14156825","278","3.1419565","278","3.142551","278","3.1418965","278","3.14160175","278","3.14117475","278","3.14169325","278","3.14158125","278","278"
"85","3.141754","280","3.1410665","280","3.14183325","280","3.141587","280","3.14202725","280","3.14190575","280","3.14092725","280","3.142139","280","3.14212125","280","3.142578","280","3.14075575","280","3.14208825","280","3.14180725","280","3.14168125","280","280"
"86","3.14167425","282","3.14047825","282","3.142477","282","3.141532","282","3.14108125","282","3.142268","282","3.1422365","282","3.14172975","282","3.14082975","282","3.141745","282","3.141688","282","3.14151725","282","3.14144725","282","3.14225575","282","282"
"87","3.14130325","277","3.1409735","277","3.14125325","277","3.14180825","277","3.1419735","277","3.14221175","277","3.14169725","277","3.14142775","277","3.14170075","277","3.141646","277","3.1410245","277","3.14104325","277","3.141959","277","3.14226825","277","277"
"88","3.14190375","276","3.141399","276","3.14212825","276","3.14134375","276","3.14187075","276","3.14108725","276","3.142188","276","3.14121525","276","3.141321","276","3.14165925","276","3.1421535","276","3.14222425","276","3.14194475","276","3.14142025","276","276"
"89","3.1416785","271","3.14169575","271","3.1417","271","3.14133025","271","3.14200325","271","3.14150725","271","3.14198375","271","3.1410585","271","3.14206125","271","3.14197625","271","3.14077075","271","3.141257","271","3.1420545","271","3.141879","271","271"
"90","3.1409335","283","3.14202025","283","3.14186175","283","3.141215","283","3.141053","283","3.1412715","283","3.1416335","283","3.14215925","283","3.14177525","283","3.14166175","283","3.14196275","283","3.1422","283","3.1412125","283","3.1415195","283","283"
"91","3.1414715","276","3.1421735","276","3.14092025","276","3.141592","276","3.141792","276","3.141522","276","3.141353","276","3.141499","276","3.142206","276","3.14125425","276","3.1420775","276","3.14228525","276","3.14163075","276","3.1409925","276","276"
"92","3.14177125","272","3.14174425","272","3.140869","272","3.14126475","272","3.14133675","272","3.14118775","272","3.1418455","272","3.1417365","272","3.14167575","272","3.141383","272","3.142261","272","3.14120625","272","3.141951","272","3.14126125","272","290"
"93","3.14129825","285","3.14072075","285","3.1420795","285","3.14156325","285","3.1423675","285","3.1411375","285","3.14125225","285","3.1420825","285","3.14236825","285","3.141768","285","3.14132875","285","3.14186575","285","3.14131425","285","3.14142925","285","285"
"94","3.14172775","281","3.1419165","281","3.141351","281","3.1410175","281","3.14154925","281","3.14205725","281","3.1408175","281","3.14218125","281","3.14109375","281","3.1412465","281","3.14147725","281","3.14145725","281","3.1413565","281","3.14170025","281","282"
"95","3.141888","283","3.141447","283","3.141876","283","3.140801","283","3.14178075","283","3.14084075","283","3.1415855","283","3.14192975","283","3.14187375","283","3.141991","283","3.14200275","283","3.1415875","283","3.1423185","283","3.141137","283","283"
"96","3.14119675","283","3.14105275","283","3.14216075","283","3.14183025","283","3.14154825","283","3.14167825","283","3.14129775","283","3.14171425","283","3.140787","283","3.14187975","283","3.1418775","283","3.14142225","283","3.1414885","283","3.14163775","283","284"
"97","3.140962","272","3.14115875","272","3.14139125","272","3.1407035","272","3.1414265","272","3.14107275","272","3.14150525","272","3.141853","272","3.14130075","272","3.1416425","272","3.14151225","272","3.14145225","272","3.1416385","272","3.14174175","272","272"
"98","3.141859","286","3.1413755","286","3.14227575","286","3.14183225","286","3.1416435","286","3.1420285","286","3.14134","286","3.1412585","286","3.1417625","286","3.141668","286","3.14149325","286","3.14104975","286","3.14117525","286","3.14162475","286","287"
"99","3.14047575","284","3.14137175","284","3.14115775","284","3.1413495","284","3.141175","284","3.1414935","284","3.142126","284","3.14110825","284","3.1416765","284","3.141902","284","3.1415795","284","3.1408095","284","3.141231","284","3.14203675","284","285"
"100","3.14167725","276","3.1414645","276","3.14193025","276","3.141954","276","3.14095425","276","3.14209025","276","3.14125425","276","3.14141375","276","3.14072275","276","3.14163875","276","3.14170225","276","3.1414","276","3.1418205","276","3.14155625","276","276"
